"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
"55","blue-collar","divorced","primary","no","962","no","yes","telephone","28","jan","88","2","-1","0","unknown","no"
"26","unemployed","single","secondary","no","111","no","no","cellular","9","jul","537","1","-1","0","unknown","yes"
"34","admin.","married","secondary","no","155","no","no","cellular","5","feb","696","2","-1","0","unknown","yes"
"32","blue-collar","married","primary","no","885","yes","no","unknown","21","may","127","2","-1","0","unknown","no"
"29","technician","married","secondary","no","1599","yes","no","cellular","28","oct","95","1","112","2","failure","no"
"43","unknown","married","primary","no","0","yes","no","cellular","9","jul","132","1","-1","0","unknown","no"
"41","admin.","married","secondary","no","2661","yes","no","telephone","24","jul","258","1","-1","0","unknown","no"
"32","management","married","tertiary","no","972","no","no","cellular","14","aug","297","4","-1","0","unknown","no"
"30","management","married","tertiary","no","900","no","no","cellular","18","nov","123","1","124","2","failure","no"
"32","technician","married","tertiary","no","0","yes","no","cellular","22","jul","520","1","-1","0","unknown","no"
"25","services","single","secondary","yes","57","yes","yes","unknown","13","may","190","5","-1","0","unknown","no"
"53","retired","married","tertiary","no","74","yes","no","unknown","15","may","122","1","-1","0","unknown","no"
"25","services","single","secondary","no","281","no","yes","cellular","9","jul","173","1","-1","0","unknown","no"
"39","blue-collar","married","primary","no","398","yes","no","cellular","12","may","256","1","-1","0","unknown","no"
"34","services","single","secondary","no","-701","yes","no","cellular","11","may","610","2","-1","0","unknown","yes"
"26","technician","married","secondary","no","267","yes","no","cellular","28","jul","817","2","-1","0","unknown","yes"
"37","blue-collar","married","secondary","no","2697","yes","no","cellular","20","apr","430","1","-1","0","unknown","no"
"44","management","divorced","tertiary","no","0","no","no","cellular","28","aug","70","10","-1","0","unknown","no"
"30","management","married","tertiary","no","388","no","no","cellular","13","aug","157","1","-1","0","unknown","no"
"41","technician","married","secondary","no","459","yes","no","unknown","19","may","102","1","-1","0","unknown","no"
"22","admin.","single","secondary","no","372","no","no","cellular","6","oct","218","1","-1","0","unknown","yes"
"35","management","single","tertiary","no","134","no","no","cellular","4","feb","219","1","-1","0","unknown","no"
"46","blue-collar","married","secondary","no","853","no","no","cellular","11","jul","1187","3","-1","0","unknown","no"
"30","self-employed","single","secondary","no","192","no","no","cellular","22","jul","423","1","-1","0","unknown","no"
"60","retired","married","tertiary","no","872","no","no","telephone","28","aug","37","5","-1","0","unknown","no"
"59","retired","married","secondary","no","444","yes","no","unknown","6","jun","137","1","-1","0","unknown","no"
"45","blue-collar","married","secondary","no","746","yes","no","cellular","11","may","261","1","-1","0","unknown","no"
"44","services","single","secondary","no","0","yes","no","unknown","14","may","198","1","-1","0","unknown","no"
"26","student","single","secondary","no","1510","no","no","telephone","4","feb","58","3","-1","0","unknown","no"
"49","technician","single","secondary","no","-120","yes","yes","cellular","9","jul","100","5","-1","0","unknown","no"
"28","unemployed","married","secondary","no","293","yes","no","cellular","20","apr","230","1","329","3","failure","no"
"31","management","single","tertiary","no","155","yes","no","cellular","5","aug","291","1","-1","0","unknown","no"
"45","technician","married","secondary","no","351","yes","no","telephone","29","aug","18","2","-1","0","unknown","no"
"37","blue-collar","single","secondary","no","0","no","no","cellular","19","nov","228","3","-1","0","unknown","no"
"51","entrepreneur","married","tertiary","no","-267","yes","no","cellular","9","jul","42","1","-1","0","unknown","no"
"38","blue-collar","married","primary","no","0","yes","no","unknown","8","may","732","2","-1","0","unknown","no"
"36","admin.","single","secondary","no","0","no","no","unknown","20","may","37","1","-1","0","unknown","no"
"31","blue-collar","married","secondary","no","631","yes","no","unknown","23","may","248","4","-1","0","unknown","no"
"33","technician","single","secondary","no","608","no","no","cellular","31","jul","58","4","-1","0","unknown","no"
"34","self-employed","single","tertiary","no","0","yes","no","unknown","2","jul","48","1","422","1","success","no"
"36","technician","divorced","tertiary","no","1762","yes","no","unknown","3","jun","259","1","-1","0","unknown","no"
"40","technician","single","tertiary","no","1175","no","no","cellular","14","apr","184","1","-1","0","unknown","yes"
"39","admin.","married","primary","no","-439","yes","no","unknown","15","may","347","8","-1","0","unknown","no"
"34","management","married","tertiary","no","703","yes","no","cellular","14","apr","342","1","-1","0","unknown","yes"
"53","unemployed","married","tertiary","no","240","no","no","cellular","29","aug","106","3","-1","0","unknown","no"
"33","housemaid","married","primary","no","2293","yes","no","cellular","19","nov","457","2","-1","0","unknown","no"
"30","blue-collar","married","secondary","no","309","yes","no","unknown","7","may","1574","2","-1","0","unknown","yes"
"37","management","single","tertiary","no","156","no","no","cellular","5","feb","7","10","-1","0","unknown","no"
"37","technician","married","secondary","yes","-143","yes","no","cellular","4","feb","95","1","-1","0","unknown","no"
"30","blue-collar","single","secondary","no","163","yes","yes","cellular","23","jul","123","2","-1","0","unknown","no"
"31","blue-collar","married","secondary","no","492","yes","no","cellular","6","feb","99","1","-1","0","unknown","no"
"45","housemaid","divorced","tertiary","no","2098","no","no","unknown","20","jun","81","3","-1","0","unknown","no"
"54","services","married","secondary","no","514","yes","no","cellular","2","feb","109","1","186","3","failure","no"
"54","services","married","secondary","yes","0","yes","no","unknown","6","may","138","3","-1","0","unknown","no"
"54","blue-collar","married","secondary","no","2957","yes","no","unknown","4","jun","392","2","-1","0","unknown","no"
"30","admin.","single","tertiary","no","218","no","no","unknown","4","jul","137","2","-1","0","unknown","no"
"31","blue-collar","married","secondary","no","658","yes","yes","cellular","17","apr","268","1","270","1","failure","no"
"33","blue-collar","married","primary","no","141","yes","no","unknown","21","may","578","2","-1","0","unknown","no"
"60","blue-collar","married","secondary","no","721","no","no","cellular","10","jul","160","1","-1","0","unknown","no"
"55","self-employed","married","secondary","no","39","no","no","unknown","17","jun","20","1","-1","0","unknown","no"
"53","technician","married","secondary","no","4541","yes","no","unknown","15","may","190","6","-1","0","unknown","no"
"32","management","divorced","tertiary","no","1486","yes","no","cellular","21","jul","151","2","-1","0","unknown","no"
"35","technician","married","secondary","no","410","yes","no","cellular","20","nov","67","2","-1","0","unknown","no"
"31","admin.","single","tertiary","no","4129","no","no","cellular","2","mar","105","1","182","1","failure","no"
"35","management","single","tertiary","no","397","yes","no","cellular","17","apr","594","1","-1","0","unknown","yes"
"52","admin.","married","primary","no","321","yes","no","unknown","30","may","141","4","-1","0","unknown","no"
"31","unemployed","married","tertiary","no","7744","no","no","cellular","26","aug","377","8","-1","0","unknown","no"
"55","technician","divorced","secondary","no","2730","no","no","cellular","4","aug","430","2","-1","0","unknown","no"
"33","technician","married","tertiary","no","1126","yes","no","unknown","6","sep","11","1","490","5","other","no"
"28","management","married","tertiary","no","9664","yes","no","cellular","24","jul","497","2","-1","0","unknown","no"
"28","technician","single","secondary","no","1536","yes","no","unknown","28","may","347","2","-1","0","unknown","no"
"44","retired","married","secondary","no","181","yes","no","unknown","19","may","131","6","-1","0","unknown","no"
"58","unemployed","married","primary","no","3884","no","no","unknown","9","jul","399","8","-1","0","unknown","no"
"34","admin.","married","secondary","no","45","yes","no","cellular","18","nov","79","1","-1","0","unknown","no"
"41","technician","married","secondary","no","799","no","no","cellular","31","jul","125","6","-1","0","unknown","no"
"35","admin.","married","secondary","no","530","yes","no","unknown","6","may","149","1","-1","0","unknown","no"
"35","blue-collar","single","secondary","no","0","yes","no","cellular","9","feb","226","3","280","1","other","no"
"54","entrepreneur","married","unknown","no","1021","no","no","unknown","20","jun","13","7","-1","0","unknown","no"
"51","blue-collar","married","primary","no","1080","no","yes","cellular","25","jul","110","1","-1","0","unknown","no"
"24","student","single","primary","no","474","no","no","cellular","30","apr","551","1","-1","0","unknown","yes"
"35","entrepreneur","married","secondary","no","2971","no","no","cellular","4","may","429","4","164","2","failure","yes"
"23","blue-collar","married","secondary","no","94","yes","no","unknown","5","may","193","1","-1","0","unknown","no"
"75","retired","married","primary","no","1765","no","no","telephone","11","mar","282","2","181","2","success","no"
"33","management","married","tertiary","no","52","no","no","cellular","22","aug","311","1","-1","0","unknown","no"
"34","technician","married","secondary","no","-56","yes","no","cellular","13","may","197","2","-1","0","unknown","no"
"42","technician","married","secondary","no","300","yes","no","cellular","19","nov","76","1","-1","0","unknown","no"
"27","technician","single","secondary","no","629","yes","yes","unknown","18","jun","680","2","-1","0","unknown","no"
"61","management","married","secondary","no","1128","no","no","cellular","18","aug","243","2","-1","0","unknown","no"
"29","housemaid","married","primary","no","132","no","no","cellular","5","feb","559","5","-1","0","unknown","no"
"35","management","single","secondary","no","5260","yes","no","unknown","20","may","211","2","-1","0","unknown","no"
"58","retired","married","primary","no","331","yes","no","unknown","19","may","145","4","-1","0","unknown","no"
"39","entrepreneur","married","tertiary","no","442","no","no","cellular","21","nov","10","3","-1","0","unknown","no"
"46","services","divorced","secondary","no","5","yes","yes","cellular","29","jan","305","2","-1","0","unknown","no"
"48","management","married","tertiary","no","7289","yes","no","cellular","2","feb","316","3","-1","0","unknown","no"
"53","blue-collar","married","primary","no","256","yes","no","unknown","2","jun","202","1","-1","0","unknown","no"
"52","technician","divorced","secondary","no","-558","no","no","cellular","14","aug","152","5","-1","0","unknown","no"
"57","retired","married","secondary","no","427","no","no","cellular","29","jan","246","1","-1","0","unknown","no"
"56","retired","married","primary","no","1947","no","no","cellular","3","jun","124","1","34","2","failure","no"
"33","management","single","tertiary","no","1431","no","no","cellular","30","apr","94","1","85","2","failure","no"
"39","unemployed","single","secondary","no","356","yes","no","unknown","30","may","462","2","-1","0","unknown","no"
"36","blue-collar","married","secondary","no","1969","yes","yes","cellular","13","may","87","1","-1","0","unknown","no"
"56","management","married","tertiary","no","586","no","no","telephone","10","jul","123","1","-1","0","unknown","no"
"39","admin.","married","secondary","no","0","no","no","cellular","9","apr","106","2","-1","0","unknown","no"
"55","blue-collar","divorced","secondary","no","4053","no","no","unknown","6","jun","182","2","-1","0","unknown","no"
"26","blue-collar","single","secondary","no","-128","no","yes","cellular","8","jul","392","2","-1","0","unknown","no"
"44","management","divorced","tertiary","no","2058","no","yes","cellular","21","nov","661","1","-1","0","unknown","no"
"77","retired","divorced","secondary","no","3417","no","no","cellular","12","nov","134","1","-1","0","unknown","yes"
"31","technician","single","secondary","no","105","no","no","cellular","25","aug","87","4","-1","0","unknown","no"
"33","technician","married","tertiary","no","1699","no","no","cellular","6","nov","178","2","94","1","success","yes"
"33","management","married","tertiary","no","982","no","no","unknown","4","jun","735","17","-1","0","unknown","no"
"41","blue-collar","married","secondary","no","946","yes","no","unknown","6","may","325","1","-1","0","unknown","no"
"19","student","single","secondary","no","329","no","no","cellular","22","oct","252","2","-1","0","unknown","yes"
"33","blue-collar","married","primary","no","5","yes","no","cellular","17","apr","1007","2","-1","0","unknown","yes"
"48","housemaid","married","primary","no","469","no","no","cellular","14","aug","103","2","-1","0","unknown","no"
"53","management","married","tertiary","no","1619","no","no","unknown","5","jun","89","1","-1","0","unknown","no"
"52","management","divorced","tertiary","no","2909","yes","no","unknown","30","may","110","1","-1","0","unknown","no"
"35","self-employed","married","secondary","no","1256","yes","no","cellular","22","aug","73","7","-1","0","unknown","no"
"35","blue-collar","married","secondary","no","4","yes","yes","cellular","16","jul","130","6","-1","0","unknown","no"
"47","blue-collar","married","primary","no","9346","no","no","cellular","22","aug","19","21","-1","0","unknown","no"
"45","unemployed","married","secondary","no","2468","yes","no","cellular","29","jul","64","2","-1","0","unknown","no"
"39","management","married","tertiary","no","88","no","no","cellular","19","aug","349","4","-1","0","unknown","no"
"55","retired","married","primary","no","2","no","no","unknown","27","jun","392","4","-1","0","unknown","no"
"34","blue-collar","single","secondary","no","297","yes","no","unknown","9","may","407","4","-1","0","unknown","no"
"77","retired","married","primary","no","3324","no","no","cellular","13","may","289","1","91","5","success","yes"
"26","admin.","single","secondary","no","96","no","no","cellular","6","may","606","1","345","1","failure","no"
"43","management","divorced","tertiary","no","1052","no","no","unknown","12","jun","118","3","-1","0","unknown","no"
"48","management","single","unknown","no","1009","yes","no","cellular","9","feb","138","5","256","1","other","no"
"37","housemaid","married","primary","no","655","yes","no","cellular","22","aug","160","1","-1","0","unknown","no"
"54","technician","single","tertiary","no","3233","no","no","unknown","20","jun","17","3","-1","0","unknown","no"
"25","student","single","secondary","no","1116","yes","no","cellular","1","jun","119","1","20","5","failure","no"
"37","services","married","primary","no","0","yes","no","unknown","26","may","581","1","-1","0","unknown","no"
"40","technician","married","secondary","no","-282","yes","no","unknown","6","jun","223","3","-1","0","unknown","no"
"29","services","married","secondary","no","340","yes","yes","unknown","26","may","297","1","-1","0","unknown","no"
"45","management","divorced","tertiary","no","0","no","no","unknown","1","jun","5","1","-1","0","unknown","no"
"46","management","married","tertiary","no","213","no","no","telephone","27","apr","151","3","-1","0","unknown","no"
"55","blue-collar","married","secondary","no","3917","yes","no","cellular","18","may","565","1","-1","0","unknown","yes"
"49","technician","married","secondary","no","1712","yes","no","cellular","30","jul","155","3","-1","0","unknown","no"
"25","services","single","secondary","no","333","no","yes","cellular","15","jul","1056","2","-1","0","unknown","yes"
"27","blue-collar","single","secondary","no","71","yes","no","unknown","13","may","174","1","-1","0","unknown","no"
"37","admin.","divorced","secondary","no","141","yes","no","cellular","14","may","233","1","-1","0","unknown","no"
"49","blue-collar","divorced","primary","no","73","no","yes","cellular","28","jul","106","11","-1","0","unknown","no"
"31","technician","married","tertiary","no","0","yes","no","unknown","4","jun","67","2","-1","0","unknown","no"
"43","housemaid","married","secondary","no","1476","no","no","unknown","12","jun","216","2","-1","0","unknown","no"
"33","technician","married","tertiary","no","0","yes","yes","cellular","28","aug","94","6","-1","0","unknown","no"
"36","management","single","tertiary","no","1379","no","no","cellular","25","may","189","1","186","1","failure","yes"
"50","blue-collar","married","secondary","no","464","no","yes","unknown","6","jun","426","2","-1","0","unknown","no"
"33","management","single","tertiary","no","627","no","no","cellular","27","aug","61","5","-1","0","unknown","no"
"55","retired","married","secondary","no","1","yes","no","telephone","7","may","79","2","360","6","other","no"
"30","management","single","secondary","no","18","yes","no","cellular","17","nov","294","1","-1","0","unknown","no"
"46","admin.","married","secondary","no","179","yes","no","cellular","29","jan","194","4","436","1","other","no"
"30","technician","divorced","secondary","no","4","yes","no","unknown","20","may","270","1","-1","0","unknown","no"
"36","blue-collar","married","primary","no","1580","yes","no","cellular","14","jul","615","3","-1","0","unknown","no"
"27","management","single","tertiary","no","498","yes","no","cellular","12","may","191","1","369","3","failure","no"
"53","management","married","tertiary","no","210","no","no","cellular","19","aug","96","2","-1","0","unknown","no"
"46","technician","married","secondary","no","0","yes","no","unknown","4","jun","242","5","-1","0","unknown","no"
"39","admin.","divorced","secondary","no","160","yes","no","cellular","5","aug","156","1","-1","0","unknown","no"
"21","student","single","unknown","no","200","no","no","unknown","1","jun","8","1","-1","0","unknown","no"
"26","student","single","secondary","no","715","yes","no","unknown","20","jun","31","10","-1","0","unknown","no"
"42","blue-collar","married","primary","no","-303","yes","no","unknown","18","jun","40","3","-1","0","unknown","no"
"34","technician","single","secondary","no","705","yes","yes","unknown","19","may","1203","3","-1","0","unknown","no"
"51","technician","married","secondary","no","-192","yes","no","telephone","11","jul","57","1","-1","0","unknown","no"
"35","entrepreneur","married","tertiary","no","280","yes","no","unknown","21","may","502","1","-1","0","unknown","no"
"30","services","married","secondary","no","208","no","yes","cellular","28","jul","213","3","-1","0","unknown","no"
"36","technician","married","secondary","no","83","yes","no","unknown","8","may","178","1","-1","0","unknown","no"
"37","management","divorced","tertiary","yes","26","no","yes","cellular","21","nov","22","1","-1","0","unknown","no"
"46","blue-collar","married","primary","no","1483","yes","no","unknown","14","may","174","3","-1","0","unknown","no"
"28","technician","married","secondary","no","-579","yes","yes","cellular","9","feb","84","2","-1","0","unknown","no"
"40","technician","married","secondary","no","286","no","no","cellular","30","jul","106","4","-1","0","unknown","no"
"50","self-employed","divorced","tertiary","no","1390","no","no","cellular","21","nov","55","2","-1","0","unknown","no"
"35","management","single","tertiary","no","538","no","no","cellular","22","dec","410","3","165","2","other","yes"
"33","student","divorced","secondary","no","422","no","no","cellular","6","aug","406","3","-1","0","unknown","no"
"47","blue-collar","married","secondary","no","3237","yes","no","unknown","15","may","198","3","-1","0","unknown","no"
"46","technician","married","tertiary","no","841","yes","no","unknown","6","may","158","1","-1","0","unknown","no"
"37","management","single","tertiary","no","240","no","no","unknown","5","jun","1123","1","-1","0","unknown","yes"
"57","unemployed","married","secondary","no","3867","yes","no","unknown","12","may","71","2","-1","0","unknown","no"
"44","admin.","married","secondary","no","0","no","no","unknown","26","may","85","3","-1","0","unknown","no"
"45","technician","divorced","secondary","no","1066","yes","yes","cellular","19","nov","124","2","-1","0","unknown","no"
"30","services","divorced","secondary","no","167","yes","no","unknown","3","jun","237","2","-1","0","unknown","no"
"18","student","single","secondary","no","156","no","no","cellular","4","nov","298","2","82","4","other","no"
"45","admin.","married","secondary","no","740","no","yes","cellular","19","aug","109","2","-1","0","unknown","no"
"56","blue-collar","married","primary","no","563","no","no","telephone","16","jul","51","1","-1","0","unknown","no"
"49","management","single","tertiary","no","1093","yes","no","cellular","18","nov","152","1","-1","0","unknown","no"
"31","unemployed","married","tertiary","no","232","yes","no","cellular","13","may","53","3","-1","0","unknown","no"
"30","management","married","tertiary","no","1239","no","no","cellular","28","aug","125","5","-1","0","unknown","no"
"46","blue-collar","single","secondary","no","152","yes","no","unknown","8","may","33","4","-1","0","unknown","no"
"34","blue-collar","married","secondary","no","3990","yes","no","cellular","24","jul","633","7","-1","0","unknown","no"
"40","blue-collar","single","secondary","no","322","yes","no","cellular","7","may","201","1","-1","0","unknown","no"
"41","self-employed","married","secondary","no","304","yes","no","unknown","12","may","1147","2","-1","0","unknown","no"
"32","services","married","secondary","no","204","yes","yes","unknown","20","may","307","3","-1","0","unknown","no"
"39","blue-collar","married","primary","no","192","no","no","unknown","4","jul","433","1","-1","0","unknown","no"
"49","admin.","divorced","secondary","no","771","yes","no","cellular","21","nov","264","2","172","1","failure","no"
"55","unemployed","divorced","secondary","no","309","no","no","cellular","21","oct","467","2","184","1","success","yes"
"39","entrepreneur","married","tertiary","no","745","no","no","cellular","8","aug","88","1","-1","0","unknown","no"
"42","technician","married","primary","no","275","no","no","cellular","31","jul","51","9","-1","0","unknown","no"
"35","services","married","secondary","no","1417","yes","no","cellular","14","may","65","3","-1","0","unknown","no"
"60","admin.","married","secondary","no","12980","no","no","cellular","3","sep","177","2","182","1","success","no"
"48","blue-collar","married","secondary","no","2697","yes","yes","unknown","26","may","79","5","-1","0","unknown","no"
"51","retired","divorced","primary","no","1193","yes","no","cellular","30","jul","85","2","-1","0","unknown","no"
"46","technician","married","tertiary","no","591","no","no","cellular","20","aug","50","3","-1","0","unknown","no"
"34","management","divorced","tertiary","no","70","yes","no","unknown","22","jul","5","1","701","6","other","no"
"49","admin.","divorced","secondary","yes","2405","yes","no","cellular","23","jul","216","8","-1","0","unknown","no"
"36","management","married","tertiary","no","0","no","no","cellular","12","aug","243","3","-1","0","unknown","no"
"53","retired","divorced","secondary","no","-172","yes","yes","cellular","17","apr","66","1","-1","0","unknown","no"
"51","services","married","secondary","no","393","yes","yes","cellular","30","jul","111","8","-1","0","unknown","no"
"34","admin.","married","secondary","no","2374","yes","no","cellular","9","feb","243","2","92","3","success","yes"
"57","blue-collar","single","primary","no","739","yes","no","cellular","14","may","172","2","364","1","failure","no"
"33","blue-collar","married","primary","yes","2","yes","yes","cellular","9","jul","227","1","-1","0","unknown","no"
"32","blue-collar","single","secondary","no","799","no","yes","cellular","23","jul","2078","6","-1","0","unknown","yes"
"42","management","married","tertiary","no","2110","no","yes","cellular","31","jul","106","2","-1","0","unknown","no"
"34","student","single","unknown","no","1281","no","no","cellular","25","aug","279","1","117","1","failure","no"
"56","admin.","married","secondary","no","550","yes","no","cellular","12","may","398","2","-1","0","unknown","no"
"29","technician","married","secondary","no","3615","yes","no","cellular","30","jul","93","3","-1","0","unknown","no"
"42","admin.","divorced","secondary","no","0","yes","yes","unknown","18","jun","185","4","-1","0","unknown","no"
"49","admin.","single","secondary","no","827","yes","no","cellular","30","jan","61","1","-1","0","unknown","no"
"34","housemaid","married","secondary","no","5","no","no","telephone","21","jul","305","7","-1","0","unknown","no"
"36","blue-collar","married","secondary","no","959","yes","no","unknown","29","may","200","4","-1","0","unknown","no"
"43","technician","married","secondary","no","307","no","no","cellular","21","jul","145","2","-1","0","unknown","no"
"46","management","single","tertiary","no","655","no","yes","unknown","4","jul","68","1","-1","0","unknown","no"
"29","technician","single","tertiary","no","2893","yes","no","unknown","3","jun","250","1","-1","0","unknown","no"
"54","management","married","tertiary","no","1014","no","yes","cellular","30","apr","240","1","162","2","failure","yes"
"27","services","single","primary","no","140","yes","yes","cellular","25","jul","361","1","-1","0","unknown","no"
"32","technician","single","tertiary","no","703","yes","no","cellular","3","feb","489","2","271","2","success","no"
"30","technician","single","secondary","no","1286","no","no","telephone","28","aug","44","12","-1","0","unknown","no"
"42","admin.","divorced","secondary","yes","723","no","no","cellular","20","nov","298","2","112","2","other","no"
"27","management","single","tertiary","yes","0","no","yes","cellular","8","jul","46","1","-1","0","unknown","no"
"57","blue-collar","married","unknown","no","807","yes","no","unknown","6","may","211","2","-1","0","unknown","no"
"42","technician","married","secondary","no","334","yes","no","cellular","20","apr","18","5","335","9","other","no"
"40","entrepreneur","married","tertiary","no","2310","yes","yes","cellular","8","apr","120","1","294","1","failure","no"
"26","unemployed","single","tertiary","no","102","no","no","cellular","28","jul","377","2","-1","0","unknown","no"
"32","management","divorced","tertiary","no","530","yes","no","cellular","29","jan","131","1","127","3","failure","no"
"44","management","married","tertiary","no","13893","no","no","unknown","11","jun","29","2","-1","0","unknown","no"
"20","student","single","secondary","no","130","no","no","telephone","4","may","75","3","-1","0","unknown","no"
"37","entrepreneur","married","tertiary","no","2685","no","no","unknown","20","jun","187","2","-1","0","unknown","no"
"42","entrepreneur","married","secondary","no","324","yes","no","cellular","15","jul","528","3","-1","0","unknown","no"
"25","student","single","secondary","no","4147","no","no","cellular","14","aug","211","3","-1","0","unknown","yes"
"35","blue-collar","married","secondary","no","1160","no","yes","telephone","19","nov","62","1","-1","0","unknown","no"
"30","unemployed","single","secondary","no","1058","no","no","cellular","4","feb","515","1","-1","0","unknown","no"
"59","retired","married","primary","no","1115","no","no","unknown","19","jun","834","1","-1","0","unknown","yes"
"31","self-employed","married","primary","no","1074","yes","no","unknown","23","may","1438","2","-1","0","unknown","no"
"40","blue-collar","married","secondary","no","6767","yes","no","cellular","11","may","431","1","172","2","failure","no"
"40","admin.","single","secondary","no","5061","no","yes","cellular","3","feb","63","2","-1","0","unknown","no"
"40","blue-collar","married","secondary","no","1451","no","no","cellular","30","sep","117","1","121","1","success","yes"
"65","retired","married","primary","no","493","no","no","cellular","2","feb","348","1","109","2","failure","no"
"76","retired","married","tertiary","no","2991","no","no","cellular","25","jan","195","1","95","2","success","no"
"46","blue-collar","married","primary","no","296","yes","no","unknown","4","jun","92","2","-1","0","unknown","no"
"37","admin.","divorced","secondary","no","796","no","no","unknown","19","jun","104","1","-1","0","unknown","no"
"26","student","single","tertiary","no","97","no","no","cellular","27","aug","382","1","-1","0","unknown","no"
"46","blue-collar","married","secondary","no","0","yes","no","unknown","23","may","172","3","-1","0","unknown","no"
"41","admin.","single","secondary","no","90","yes","no","cellular","15","may","77","2","347","4","failure","no"
"32","management","divorced","tertiary","no","294","yes","no","cellular","17","apr","1095","1","274","5","success","yes"
"34","management","married","tertiary","no","812","no","no","cellular","27","sep","156","2","279","1","failure","no"
"36","entrepreneur","married","secondary","no","134","no","no","unknown","20","may","98","1","-1","0","unknown","no"
"31","entrepreneur","single","tertiary","no","544","no","yes","cellular","5","feb","401","2","8","3","other","no"
"37","blue-collar","single","secondary","no","180","yes","no","cellular","8","may","114","2","-1","0","unknown","no"
"41","management","married","tertiary","no","5936","no","no","cellular","29","aug","709","11","-1","0","unknown","no"
"33","management","married","primary","no","262","yes","no","cellular","14","may","386","3","-1","0","unknown","no"
"56","self-employed","married","tertiary","no","411","no","no","unknown","19","jun","145","4","-1","0","unknown","no"
"39","management","married","tertiary","no","5060","yes","no","cellular","20","aug","157","4","-1","0","unknown","no"
"44","blue-collar","married","unknown","no","3373","yes","no","cellular","20","apr","48","2","342","1","failure","no"
"25","self-employed","single","unknown","no","1179","no","no","cellular","17","aug","43","1","83","2","failure","no"
"27","admin.","married","secondary","no","158","yes","no","cellular","25","jul","124","2","-1","0","unknown","no"
"38","housemaid","single","tertiary","no","0","no","no","cellular","3","jun","137","3","-1","0","unknown","no"
"27","management","single","secondary","no","-403","yes","no","cellular","21","jul","54","3","-1","0","unknown","no"
"46","blue-collar","divorced","primary","no","358","no","no","unknown","17","jun","259","2","-1","0","unknown","no"
"28","admin.","married","secondary","no","-156","yes","no","unknown","6","jun","161","5","-1","0","unknown","no"
"27","management","single","tertiary","no","1623","no","no","cellular","9","dec","161","1","190","1","success","no"
"47","admin.","married","secondary","no","175","yes","no","cellular","26","aug","102","7","-1","0","unknown","no"
